,R2,Pearson_r,RMSE,MAE,n_imputed,n_scored,missingness_prop
mean,-309.2993695625189,,1.201155239752321,1.183567198806723,39.4,39.4,0.1
mice,-53.064094418682,0.3444314500591821,0.7030103109901178,0.6655673297474858,39.4,39.4,0.1
softimpute,-160.4299830570818,0.1811487747685689,1.0885360533009245,1.0643117473516386,39.4,39.4,0.1
missforest,-25.762863798113877,0.3131163379107566,0.5788644496237554,0.5532271637598474,39.4,39.4,0.1
sudoku,-125.64250496375988,0.1508075490431883,0.8588814098711974,0.8030270151808718,39.4,39.4,0.1
median,-331.4927494113969,,1.2368470728984502,1.2193288365846937,39.4,39.4,0.1
factorization,-139.70369639176369,0.2107505570341195,1.0631555930690966,1.0356419952738118,39.4,39.4,0.1
knn,-64.35538601051515,0.0414077584070077,0.7248007337677065,0.6896130467611348,39.4,39.4,0.1
mean,-309.33352339054505,,1.2028875447646734,1.1858887211550613,64.525,64.525,0.2
factorization,-139.80326236576337,0.256059711370934,1.068921163723844,1.0418699898899628,64.525,64.525,0.2
softimpute,-160.65093689377198,0.1980245849313521,1.0957775618261831,1.0724155363670806,64.525,64.525,0.2
missforest,-22.825121826816392,0.3114147179872642,0.5937191746056232,0.5702890284013087,64.525,64.525,0.2
knn,-63.06167643173076,0.0606416063267953,0.7354225210113123,0.7028894565648822,64.525,64.525,0.2
sudoku,-125.134410212574,0.1416560008462342,0.8831233557541431,0.8286190135928291,64.525,64.525,0.2
median,-331.50327899988054,,1.2365370034341825,1.2194622898786829,64.525,64.525,0.2
mice,-57.383663520793576,0.3434719584780394,0.7021518122905176,0.6636449466305544,64.525,64.525,0.2
sudoku,-133.8994887895191,0.0514833398768742,0.8944307028278752,0.841248257831469,87.725,87.725,0.3
median,-331.5004607784363,,1.2363661444499496,1.2193830498479628,87.725,87.725,0.3
mice,-80.65174899995777,0.3544629632377668,0.7189821616369176,0.678612741418311,87.725,87.725,0.3
missforest,-40.800325201647816,0.1489893442386962,0.6549987601313856,0.6241900017728632,87.725,87.725,0.3
softimpute,-161.2164208920192,0.2457763505095972,1.102141807617424,1.0787961050208403,87.725,87.725,0.3
knn,-62.18735407405196,0.0526529233236325,0.7247618203700108,0.6949233876406585,87.725,87.725,0.3
mean,-309.3532133681103,,1.2032758048809131,1.1864568385084913,87.725,87.725,0.3
factorization,-139.8190426678922,0.2240385964625102,1.0796474538349774,1.0519498446210949,87.725,87.725,0.3
mice,-90.1222062595116,0.337797611917491,0.7566236837201011,0.7070304107644695,108.925,108.925,0.4
factorization,-139.04984581328526,0.1143415206383868,1.087521679686403,1.0594090030340737,108.925,108.925,0.4
mean,-309.3541962893495,,1.203621569494314,1.1866651343374386,108.925,108.925,0.4
missforest,-31.859330966796698,0.1968725812756143,0.6158769919353965,0.5898864953792854,108.925,108.925,0.4
softimpute,-160.4372177718319,0.2308665320455934,1.1039909468180404,1.080038488444141,108.925,108.925,0.4
knn,-65.60403600317802,0.0432125780059041,0.7260147015287103,0.6960173250586104,108.925,108.925,0.4
median,-331.4998927324551,,1.2366622087857575,1.2194928317699127,108.925,108.925,0.4
sudoku,-143.77170232743578,0.0412579378753835,0.897377287102193,0.8440822672707295,108.925,108.925,0.4
knn,-59.01092685201784,0.0114629501090673,0.7250887086758293,0.6953329661795246,129.925,129.925,0.5
mean,-309.35580957443733,,1.203505589174283,1.1867349554757822,129.925,129.925,0.5
missforest,-27.092240559305615,0.2186639365385063,0.6177466064868653,0.592395349303396,129.925,129.925,0.5
softimpute,-169.72178200744423,0.1901945196385951,1.106558281941768,1.082421415748541,129.925,129.925,0.5
median,-331.5010222493996,,1.2365726808302469,1.2195225511174528,129.925,129.925,0.5
mice,-102.59331010787255,0.3074900424243837,0.7847936881256128,0.7251771794659528,129.925,129.925,0.5
sudoku,-150.82994813779231,0.1478973949674377,0.8920733715303235,0.8452350279770984,129.925,129.925,0.5
factorization,-153.35936213658164,0.1688238594815114,1.1027335714742363,1.0741028875498793,129.925,129.925,0.5
